Date,Close/Last,Volume,Open,High,Low,SYMBOL
03/13/2024,$169.25,8730467,$171.22,$171.50,$168.60,QUALCOM
03-12-2024,$173.08,7642226,$172.91,$173.90,$170.58,QUALCOM
03-11-2024,$171.12,7256262,$169.00,$171.98,$168.1201,QUALCOM
03-08-2024,$170.57,11317960,$174.82,$175.47,$170.54,QUALCOM
03-07-2024,$175.72,14495140,$169.60,$177.59,$169.43,QUALCOM
03-06-2024,$167.89,12230450,$164.82,$169.25,$164.33,QUALCOM
03-05-2024,$161.45,9608823,$164.73,$165.59,$160.23,QUALCOM
03-04-2024,$166.56,11865140,$165.12,$167.83,$164.72,QUALCOM
03-01-2024,$163.09,10405720,$159.39,$164.00,$158.07,QUALCOM
02/29/2024,$157.79,8321448,$156.87,$158.20,$156.18,QUALCOM
02/28/2024,$155.85,5210958,$156.00,$156.5397,$154.96,QUALCOM
02/27/2024,$158.30,6021410,$157.75,$159.20,$157.49,QUALCOM
02/26/2024,$157.03,6307616,$156.00,$157.48,$155.79,QUALCOM
02/23/2024,$154.91,5953301,$155.695,$156.91,$154.3271,QUALCOM
02/22/2024,$154.75,11407450,$154.77,$155.51,$152.315,QUALCOM
02/21/2024,$152.01,9769463,$149.83,$152.05,$148.90,QUALCOM
02/20/2024,$151.96,8745482,$151.89,$152.90,$149.87,QUALCOM
02/16/2024,$152.69,8429094,$157.47,$157.76,$152.6001,QUALCOM
02/15/2024,$155.98,9372391,$155.00,$157.17,$154.485,QUALCOM
02/14/2024,$153.94,8715118,$151.31,$154.3925,$151.05,QUALCOM
02/13/2024,$150.04,8976265,$150.00,$151.25,$148.41,QUALCOM
02-12-2024,$153.10,11806350,$150.38,$154.76,$150.25,QUALCOM
02-09-2024,$151.00,11981500,$149.00,$153.40,$148.35,QUALCOM
02-08-2024,$148.18,9448662,$146.85,$148.61,$146.285,QUALCOM
02-07-2024,$145.89,7361904,$145.16,$145.95,$143.63,QUALCOM
02-06-2024,$144.10,7286261,$144.50,$144.81,$142.4299,QUALCOM
02-05-2024,$144.03,8032550,$141.86,$144.65,$141.21,QUALCOM
02-02-2024,$141.69,10442670,$140.65,$142.14,$139.26,QUALCOM
02-01-2024,$141.11,22810610,$140.87,$143.91,$140.09,QUALCOM
01/31/2024,$148.51,21184190,$145.34,$150.16,$144.335,QUALCOM
01/30/2024,$145.98,9132768,$148.00,$148.80,$145.57,QUALCOM
01/29/2024,$149.64,10770720,$150.40,$151.235,$148.42,QUALCOM
01/26/2024,$150.72,7744740,$152.21,$152.98,$150.38,QUALCOM
01/25/2024,$154.47,7740870,$157.60,$157.98,$153.67,QUALCOM
01/24/2024,$154.37,8331852,$154.79,$156.32,$153.90,QUALCOM
01/23/2024,$153.50,6232270,$152.87,$153.74,$151.41,QUALCOM
01/22/2024,$152.87,10456110,$152.75,$154.575,$151.87,QUALCOM
01/19/2024,$151.96,16193890,$147.265,$152.77,$146.74,QUALCOM
01/18/2024,$145.29,12892980,$143.148,$145.65,$142.33,QUALCOM
01/17/2024,$139.32,6584710,$139.62,$139.63,$137.35,QUALCOM
